2026-05-22 11:46:55.349 INFO  [background-preinit] o.h.v.i.u.Version : HV000001: Hibernate Validator 8.0.3.Final
2026-05-22 11:46:55.391 INFO  [main] c.g.s.a.SeckillApplication : Starting SeckillApplication using Java 21.0.11 with PID 19560 (C:\code\gchong3068-seckill\gchong3068-seckill-app\target\classes started by administered in C:\code\gchong3068-seckill)
2026-05-22 11:46:55.392 INFO  [main] c.g.s.a.SeckillApplication : The following 1 profile is active: "dev"
2026-05-22 11:46:56.019 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2026-05-22 11:46:56.022 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-05-22 11:46:56.049 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2026-05-22 11:46:56.760 INFO  [main] o.s.b.w.e.t.TomcatWebServer : Tomcat initialized with port 8080 (http)
2026-05-22 11:46:56.774 INFO  [main] o.a.c.h.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2026-05-22 11:46:56.776 INFO  [main] o.a.c.c.StandardService : Starting service [Tomcat]
2026-05-22 11:46:56.776 INFO  [main] o.a.c.c.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.49]
2026-05-22 11:46:56.830 INFO  [main] o.a.c.c.C.[.[.[/] : Initializing Spring embedded WebApplicationContext
2026-05-22 11:46:56.830 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1404 ms
2026-05-22 11:46:57.216 INFO  [main] c.t.c.g.AbstractImageCaptchaGenerator : 图片验证码[SpringMultiImageCaptchaGenerator]初始化...
2026-05-22 11:46:57.887 INFO  [main] o.a.c.h.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2026-05-22 11:46:57.898 INFO  [main] o.s.b.w.e.t.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2026-05-22 11:46:57.904 INFO  [main] c.g.s.a.SeckillApplication : Started SeckillApplication in 2.959 seconds (process running for 3.774)
2026-05-22 11:50:05.316 INFO  [http-nio-8080-exec-1] o.a.c.c.C.[.[.[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-22 11:50:05.316 INFO  [http-nio-8080-exec-1] o.s.w.s.DispatcherServlet : Initializing Servlet 'dispatcherServlet'
2026-05-22 11:50:05.317 INFO  [http-nio-8080-exec-1] o.s.w.s.DispatcherServlet : Completed initialization in 1 ms
2026-05-22 11:51:09.106 INFO  [http-nio-8080-exec-3] c.g.s.c.a.ApiOperationLogAspect : ====== 请求开始: [查询秒杀商品详情], 入参: {"goodsId":1,"activityId":1}, 请求类: GoodsController, 请求方法: getSeckillGoodsDetail =================================== 
2026-05-22 11:51:09.106 INFO  [http-nio-8080-exec-3] c.g.s.g.s.i.GoodsServiceImpl : ==> 查询秒杀商品详情, goodsId: 1, activityId: 1
2026-05-22 11:51:09.123 INFO  [http-nio-8080-exec-3] c.z.h.HikariDataSource : SeckillHikariPool - Starting...
2026-05-22 11:51:10.924 INFO  [http-nio-8080-exec-3] c.z.h.p.HikariPool : SeckillHikariPool - Added connection com.mysql.cj.jdbc.ConnectionImpl@56164734
2026-05-22 11:51:10.927 INFO  [http-nio-8080-exec-3] c.z.h.HikariDataSource : SeckillHikariPool - Start completed.
2026-05-22 11:51:11.941 INFO  [http-nio-8080-exec-3] c.g.s.c.a.ApiOperationLogAspect : ====== 请求结束: [查询秒杀商品详情], 耗时: 2835ms, 出参: {"success":true,"message":null,"errorCode":null,"data":{"id":1,"goodsId":1,"activityId":1,"goodsName":"iPhone 15 Pro Max 256GB 深空黑色","goodsPrice":9999.00,"goodsImgs":["https://img.quanxiaoha.com/goods/iphone15promax-1.jpg","https://img.quanxiaoha.com/goods/iphone15promax-2.jpg","https://img.quanxiaoha.com/goods/iphone15promax-3.jpg","https://img.quanxiaoha.com/goods/iphone15promax-4.jpg"],"goodsDetail":"<h2>iPhone 15 Pro Max 256GB</h2><p>A17 Pro 芯片，钛金属设计，4800 万像素主摄。</p><ul><li>6.7 英寸超视网膜 XDR 显示屏</li><li>最长 29 小时视频播放</li><li>支持 USB 3，传输速度最高可达 10Gb/s</li></ul>","seckillPrice":8999.00,"seckillTotal":100,"seckillStock":88,"activityStatus":1,"beginTime":[2026,4,1,0,0],"endTime":[2026,12,31,23,59,59]}} =================================== 
2026-05-22 12:39:02.340 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.t.GracefulShutdown : Commencing graceful shutdown. Waiting for active requests to complete
2026-05-22 12:39:02.346 INFO  [tomcat-shutdown] o.s.b.w.e.t.GracefulShutdown : Graceful shutdown complete
2026-05-22 12:39:02.355 INFO  [SpringApplicationShutdownHook] c.z.h.HikariDataSource : SeckillHikariPool - Shutdown initiated...
2026-05-22 12:39:02.358 INFO  [SpringApplicationShutdownHook] c.z.h.HikariDataSource : SeckillHikariPool - Shutdown completed.
